,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2
858,Vanuatu,Pacific,Public health measures,health screenings in airports and border crossings,Health Officials are stationed at the airside both at Port Vila International Airport and Santo International Airport to screen all incoming passengers and crew for suspected symptoms of acute respiratory illness,dept immigration,2020-03-20,VU
859,Vanuatu,Pacific,Public health measures,health screenings in airports and border crossings,"Health Officials are stationed at all international seaports during arrival of vessels (Port Vila, Luganville and Mystery Island) to screen all incoming passengers and crew for suspected symptoms of acute respiratory illness",dept immigration,2020-03-20,VU
860,Argentina,Americas,Social distancing,Public services closure,All relevant public services transfered online.,ministry of health ? argentina,2020-03-20,AR
861,Ireland,Europe,Social distancing,Public services closure,All pubs across Ireland to close until at least the 29th of March,department of the taoiseach ,2020-03-20,IE
862,Argentina,Americas,Governance and socio-economic measures,economic measures,Social protection plan to ensure alimentation and health for all,ministry of health ? argentina,2020-03-20,AR
863,Argentina,Americas,Governance and socio-economic measures,economic measures,Plan of investment to protect employment and the economy,ministry of health ? argentina,2020-03-20,AR
864,Argentina,Americas,Public health measures,strengthening the public health system,Construction of 8 temporary hospitals,ministry of health ? argentina,2020-03-20,AR
865,Argentina,Americas,Lockdown,partial lockdown,"Until 31st of March included, travels are restricted excepted for valid reasons and population is forced to quarantine. Limited quarantine exemptions include movement to obtain food and medical care and travel to the international airport for ticketed passengers only. Enforced by the police. ",ministry of health ? argentina,2020-03-20,AR
866,Argentina,Americas,Public health measures,awareness campaigns,Campaign for argentinians abroad,ministry of health ? argentina,2020-03-20,AR
867,Fiji,Pacific,Lockdown,partial lockdown,"All schools and non-essential businesses in the greater Lautoka area have been ordered closed, and the government has asked all who live in the area to stay in the area.",rnz,2020-03-20,FJ
868,Fiji,Pacific,Social distancing,limit public gatherings,"Gatherings of more than 20 people - including meetings and religious services - are now banned, and all nightclubs, gyms, cinemas, swimming pools and fitness centres have also been ordered closed.",rnz,2020-03-20,FJ
869,Fiji,Pacific,Public health measures,introduction of isolation and quarantine policies,"ravel ban extended to people from the United States and Europe, including the UK. All travellers are required to self-isolate for 14 days upon arrival.",rnz,2020-03-20,FJ
870,Samoa,Pacific,Governance and socio-economic measures,emergency administrative structures activated or established,A State of Emergency has been declared in Samoa in response to the Corona Virus (COVID-19) global crisis.,samoa govt,2020-03-20,WS
871,Samoa,Pacific,Social distancing,limit public gatherings,There shall be no public gathering of more than 5 people at any public place.,samoa govt,2020-03-20,WS
872,Netherlands,Europe,Social distancing,Public services closure,"All bars, cafes, restaurants, sports clubs, gyms, saunas, sex clubs and coffee shops to close until 6th April. Takeaway/meal deliveries remain permitted. Coffee shops allowed to do collective orders.",government of nl,2020-03-20,NL
873,Netherlands,Europe,Public health measures,general recommendations,Everyone in the Netherlands is requested to keep at least 1.5 metres? distance from each other,governmnet of nl,2020-03-20,NL
874,Netherlands,Europe,Governance and socio-economic measures,economic measures,"The SME credit guarantee (BMKB) scheme will be extended to the 1 April 2021, to help SMEs that are affected by the coronavirus secure bank guarantees and bridge financing. ",netherlands chamber of commerce,2020-03-20,NL
875,Samoa,Pacific,Lockdown,partial lockdown,"All persons of the age of 60 and above are to remain at home and must not move out and about in public, unless he or she is seeking medical attention at any health facility.",samoa govt,2020-03-20,WS
876,Samoa,Pacific,Social distancing,Schools closure,All schools are to close until further notice.,samoa govt,2020-03-20,WS
877,Netherlands,Europe,Governance and socio-economic measures,economic measures," The Temporary Emergency Bridging Measure for Sustained Employment (NOW,Noodfonds Overbrugging Werkgelegenheid) will provide financial help for employers to help pay their employees' wages. You can claim a max. of 90% of wages for up to 3 months with possibility of extension. Can be claimed from 1st of march, but was implemented somewhere around 20th.",netherlands enterprise agency,2020-03-20,NL
878,Samoa,Pacific,Social distancing,Public services closure,The operation of public transport such as buses and vans that carry more than 5 people are prohibited.,samoa govt,2020-03-20,WS
879,Austria,Europe,Movement restrictions,visa restrictions,People without residency in Tyrol mandated to leave,government,2020-03-20,AT
880,Belgium,Europe,Lockdown,partial lockdown,"Police enforced general lock-down limiting the leaving of ones home only for emergencies, helping others and essential errands. Gathering and meetings are prohibited. Companies required to organize telework where possible, without exeption. Measures set to last until 5th April.",government,2020-03-20,BE
881,Belgium,Europe,Public health measures,general recommendations,"Recommendations to uphold social distancing measures in public transport emphasised (public transport continues, though at limited capacity)",government,2020-03-20,BE
882,Belgium,Europe,Movement restrictions,domestic travel restrictions,Non-essential travels outside Belgium are prohibited. Measure set until 5th April. ,government,2020-03-20,BE
883,Belgium,Europe,Public health measures,strengthening the public health system,Medex suspended non-urgent medical appointments ,government,2020-03-20,BE
884,Belgium,Europe,Public health measures,strengthening the public health system,Financial aid package of 1 billion for hospitals to cover loss of income and oustanding COVID-19 measures,government,2020-03-20,BE
885,Bosnia and Herzegovina,Europe,Public health measures,general recommendations,"Recommendation for all citizens to cancel international travel plans, particularly to the countries affects. No forced implementation",government,2020-03-20,BA
886,Bosnia and Herzegovina,Europe,Movement restrictions,visa restrictions,"Travelers coming from certain regions are banned from entry:  provinces of China (Wuhan), South Korea, Japan, Italy, Germany, Austria, Switzerland, Spain, Belgium",government,2020-03-20,BA
887,Bosnia and Herzegovina,Europe,Governance and socio-economic measures,economic measures,An emergency fund from national and sub-national governments is being implemented to cover companies; banks further pause loan payments for all legal and natural entities affected by corona; they emphasise that their liquidity is ensured,government,2020-03-20,BA
888,Bosnia and Herzegovina,Europe,Public health measures,health screenings in airports and border crossings,"Strengthening of sanitary screenings at border crossings, particularly at sea borders",government ,2020-03-20,BA
889,Bosnia and Herzegovina,Europe,Public health measures,strengthening the public health system,Make 30 million KM additionally available for university clinical centres to combat the virus ,government,2020-03-20,BA
890,Bosnia and Herzegovina,Europe,Governance and socio-economic measures,state of emergency declared,Declared by the government of the Federation of BiH,government,2020-03-20,BA
891,Bosnia and Herzegovina,Europe,Governance and socio-economic measures,economic measures,Government freezes price for essential goods and medical products to the level of March 5th,government,2020-03-20,BA
892,Djibouti,Africa,Public health measures,strengthening the public health system,First confirmed case found 18/3/2020. Additional measures being taken by government to ensure it remains quarentined,who,2020-03-20,DJ
893,Nauru,Pacific,Governance and socio-economic measures,state of emergency declared,State of Emergency declared from 16 March for 30 days to manage and minimise impact of Covid-19,nauru govt,2020-03-20,NR
894,Nauru,Pacific,Public health measures,introduction of isolation and quarantine policies,"Stringent quarantine and border protection measures are in place, requiring all travellers to spend 14 days in approved transition accommodation, before being allowed into the community.",rnz,2020-03-20,NR
895,Nauru,Pacific,Public health measures,introduction of isolation and quarantine policies,"Travellers denied entry to Nauru who have had direct contact with a confirmed case in the previous 21 days, or have travelled from or transited through Mainland China, Hong Kong, Macao, Korea, Iran, Europe, USA or Asia (except Taiwan) within the previous 21 days",nauru govt,2020-03-20,NR
896,Kiribati,Pacific,Public health measures,introduction of isolation and quarantine policies,All passengers traveling from Kiritimati to Nadi on the Honolulu-Xmas-Nadi flight need to be quarantined in Fiji for 14 days before traveling back to Kiribati. Medical clearance can be obtained in Nadi from Zens clinic in Namaka town and in Suva from Tebana?s surgery. MHMS Kiribati will add more clinics in due course,ministry of health and medical services,2020-03-20,KI
897,Micronesia,Pacific,Social distancing,Schools closure,All schools in Federated States of Micronesia have been closed,rnz,2020-03-20,FM
898,Marshall Islands,Pacific,Public health measures,strengthening the public health system,"The RMI government announced on February 15, 2020 the construction of a new eight-bed isolation unit to be built and ready within the next 30 days",facebook,2020-03-20,MH
899,Marshall Islands,Pacific,Movement restrictions,Border closure,All inbound travel banned altogether until mid-April at the least.,rnz,2020-03-20,MH
900,Marshall Islands,Pacific,Public health measures,introduction of isolation and quarantine policies,Supply ships must wait at sea 14 days before being permitted to berth,the economist,2020-03-20,MH
901,Samoa,Pacific,Movement restrictions,Border closure,"All international travelers, travelling to Samoa are prohibited from entering Samoa unless: a) the traveler is a returning citizen or resident of Samoa; and (b) that returning resident or citizen has undergone a has undergone a COVID-19 test 5 days before entering Samoa",samoa govt,2020-03-20,WS
902,Tonga,Pacific,Governance and socio-economic measures,state of emergency declared,"State of Emergency applied to all the land and sea areas of Tonga starting March 20 to April 17, unless further renewed.",matangi tonga newspaper,2020-03-20,TO
903,Tonga,Pacific,Movement restrictions,Border closure,All foreign nationals are now banned from entering Tonga in a restriction effective until 17 April.,matangi tonga newspaper,2020-03-20,TO
904,Tonga,Pacific,Social distancing,limit public gatherings,"Public gatherings restricted to a maximum of 20 people inside a building or 40 people outside, and people are to practice social distancing. Concerts, sports events, funerals, weddings and birthdays are also banned.",matangi tonga newspaper,2020-03-20,TO
905,Tonga,Pacific,Public health measures,introduction of isolation and quarantine policies,Tongan nationals must be quarantined for 14-days upon arrival.,matangi tonga newspaper,2020-03-20,TO
906,Tonga,Pacific,Social distancing,limit public gatherings,"Nightclubs, bars and kava clubs to be shut down from March 25.",matangi tonga newspaper,2020-03-20,TO
907,Tuvalu,Pacific,Public health measures,introduction of isolation and quarantine policies,"Any traveller to Tuvalu must spend 14-days of isolation in Fiji, Kiribati, Samoa, Tonga, Vanuatu or Solomon Islands before embarking for the country",rnz,2020-03-20,TV
908,Netherlands,Europe,Governance and socio-economic measures,economic measures,"Self-employed professionals can apply for an extra, temporary benefit for self-employed professionals (Bbz) soon. The requirements for applying will be relaxed. Not implemented YET. Date of announcement 17/03/2020.",netherlands enterprise agency,2020-03-20,NL
909,Tonga,Pacific,Governance and socio-economic measures,emergency administrative structures activated or established,Taliai Army Camp near Fua?amotu airport had been readied as an isolation centre for people who cannot be isolated at home,rnz,2020-03-20,TO
910,South Africa,Africa,Movement restrictions,Border closure,"Of the 53 land ports (also known as border stations) throughout South Africa, 35 will be shut down.",sa government,2020-03-20,ZA
911,Albania,Europe,Public health measures,health screenings in airports and border crossings,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,us embassy of albania ,2020-03-20,AL
912,Albania,Europe,Public health measures,strengthening the public health system,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,"albania ministry of health ""mshms""",2020-03-20,AL
913,South Africa,Africa,Social distancing,limit public gatherings,"The assembly of more than 50 persons at premises where liquor is sold and consumed is prohibited. Any person who breaks this law and convenes such a gathering is guilty of an offence and, on conviction, liable to a fine or to imprisonment for a period not exceeding six months or to both such fine and imprisonment.",sa government,2020-03-20,ZA
914,South Africa,Africa,Social distancing,Public services closure,All on- and off-consumption premises selling liquor must be closed between 6pm and 9am the next morning on weekdays and Saturdays; and from 1pm on Sundays and public holidays. They must also abide by 50 person gathering maximum rules. ,sa government,2020-03-20,ZA
915,South Africa,Africa,Social distancing,limit public gatherings,"Gatherings of more than 100 people prohibited & mass celebrations of upcoming national days, such as human rights day, will be cancelled. Where small gatherings are unaviodable organisers will need to put in place stringent measures of prevention and control.",newzroom afrika: press conference,2020-03-20,ZA
916,Bolivia,Americas,Movement restrictions,Border closure,All borders on land closed to all except nationals and residents. ,ministry of foreign affairs ? france,2020-03-20,BO
917,Albania,Europe,Public health measures,strengthening the public health system,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital ,"albania ministry of health ""mshms""",2020-03-20,AL
918,Albania,Europe,Movement restrictions,Border closure,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",us embassy of albania ,2020-03-20,AL
919,Benin,Africa,Movement restrictions,Border closure,Valid from 19th of March and for 2 weeks. Travellers may enter or transit if they have exceptionnal reasons.,consulate ? benin,2020-03-20,BJ
920,Benin,Africa,Movement restrictions,visa restrictions,Valid from 19th of March and for 2 weeks.,consulate ? benin,2020-03-20,BJ
921,Benin,Africa,Public health measures,introduction of isolation and quarantine policies,Any traveller entering the country by plane will be quarantined for 2 weeks.,consulate ? benin,2020-03-20,BJ
922,Benin,Africa,Social distancing,limit public gatherings,Cancelation of all large events. ,consulate ? benin,2020-03-20,BJ
923,Bosnia and Herzegovina,Europe,Public health measures,general recommendations,"Companies are adviced to promote working from home, adapt stricter hygiene practises, cancel travels and meetings, allow parents of children below 10 time off-work, reorganize work",government,2020-03-20,BA
924,Bosnia and Herzegovina,Europe,Governance and socio-economic measures,economic measures,Tax reductions on income tax according to the type of employment; set to last until end of year,government,2020-03-20,BA
925,Bosnia and Herzegovina,Europe,Movement restrictions,Border closure,Border closure to Serbia,n1,2020-03-20,BA
926,Bosnia and Herzegovina,Europe,Public health measures,strengthening the public health system,The spread of misinformation online will be monitored and fined,balkaninsight,2020-03-20,BA
927,Croatia,Europe,Movement restrictions,Border closure,"Temporary ban of transit through border crossings, excluding cross-border workers, freight carriers, healthcare professionals",croatian national tourist board,2020-03-20,HR
928,Croatia,Europe,Governance and socio-economic measures,economic measures,Freezing prices for essential foods and drugs to level of 30th January 2020,total croatia news,2020-03-20,HR
929,Croatia,Europe,Governance and socio-economic measures,economic measures,Establishment of COVID-19 loans to ensure financial liquidity and delays in tax collection or reduction in taxes and fees; complete plan has 63 measures and measures a worth of 350 million HRK,ministry of economics,2020-03-20,HR
930,Croatia,Europe,Public health measures,introduction of isolation and quarantine policies,Health inspectors are monitoring compliance with self-isolation orders and can fine up to 120.000 HRK,US Embassy in Croatia,2020-03-20,HR
931,Croatia,Europe,Social distancing,limit public gatherings,Gatherings of more than 5 are banned,US Embassy in Croatia,2020-03-20,HR
932,Croatia,Europe,Social distancing,Public services closure,"Closing of restaurants, cafes, bars, night clubs, shopping centers, sports and fitness centers, museums, cinemas, theatres, places of worship, hairdressers, beauty parlors and similar services where close human contact can be expected",US Embassy in Croatia,2020-03-20,HR
933,Croatia,Europe,Governance and socio-economic measures,emergency administrative structures activated or established,The national civil protection agency's powers were extended to respond more appropriately,government,2020-03-20,HR
934,Croatia,Europe,Public health measures,strengthening the public health system,The capacities of hospitals across Croatia are increased and the decision made to establish a digital platform ensuring interoperability and coordination across actors to monitor the outbreak,government,2020-03-20,HR
935,Czech Republic,Europe,Social distancing,limit public gatherings,People are required to wear protective medical masks and keep a distance of 2m everywhere,US Embassy in the Czech Republic,2020-03-20,CZ
936,Czech Republic,Europe,Social distancing,limit public gatherings,Ban of all public and private gatherings,US Embassy in the Czech Republic,2020-03-20,CZ
937,Czech Republic,Europe,Social distancing,limit public gatherings,"For the protection of elderly people, only people over 65 years or people with disability over 50 are allowed to enter grocery and drug stores from 7-9am (earlier set as 10-12am). Also, a support hotline for elderly to help them with their shopping was implemented",government,2020-03-20,CZ
938,Czech Republic,Europe,Social distancing,Public services closure,"Some of the national long-distance trains have been restricted, affecting 6.6% of train journeys ",government,2020-03-20,CZ
939,Czech Republic,Europe,Governance and socio-economic measures,economic measures,Parents can now receive care allowance until the ban on school attendance is liften and more widely than under previous legislation,government,2020-03-20,CZ
940,Benin,Africa,Social distancing,limit public gatherings,"Banks, supermarkets, religious gathering, funerals, bar and restaurants are closed.",consulate ? benin,2020-03-20,BJ
941,Benin,Africa,Governance and socio-economic measures,economic measures,Price control on protection masks,consulate ? benin,2020-03-20,BJ
942,Bolivia,Americas,Movement restrictions,international flights suspension,Suspension of all international flights to and from Bolivia,ministry of foreign affairs ? france,2020-03-20,BO
943,Bolivia,Americas,Movement restrictions,domestic travel restrictions,"All interdepartmental, and interprovincial travel by land, river, or lake is suspended.",us embassy,2020-03-20,BO
944,Tanzania,Africa,Social distancing,Schools closure,All universities and colleges across Tanzania to be closed,sabc digital news,2020-03-20,TZ
945,Tanzania,Africa,Social distancing,Schools closure,All primary and secondary schools in Tanzania closed,the citizen,2020-03-20,TZ
946,Algeria,Africa,Social distancing,Public services closure,"Banned all types of gatherings (including all houses of worhsip) until April 5, 2020",us embassy of algeria,2020-03-20,DZ
947,Algeria,Africa,Movement restrictions,Border closure,All land borders.,us embassy of algeria,2020-03-20,DZ
948,Algeria,Africa,Movement restrictions,international flights suspension,"Suspension of all non-cargo international air and maritime travel. Suspension of all International commercial flights (March 20, 2020) Domestic flight suspension (March 22nd, 2020).",us embassy of algeria,2020-03-20,DZ
949,Algeria,Africa,Public health measures,awareness campaigns,Programs to disinfect mass transit and public areas,us embassy of algeria,2020-03-20,DZ
950,Solomon Islands,Pacific,Social distancing,Schools closure,"Schools in the capital, Honiara, and the wider Guadalcanal province have been ordered closed",solomon times,2020-03-20,SB
951,Solomon Islands,Pacific,Movement restrictions,Border closure,90 day ban on all cruise ships and private yachts.,rnz,2020-03-20,SB
952,Solomon Islands,Pacific,Movement restrictions,international flights suspension,"A major reduction in flights, with Virgin Australia and Air Niugini suspending their services from Brisbane and Port Moresby. Solomon Airlines will only fly three times a week to Brisbane.",rnz,2020-03-20,SB
953,Solomon Islands,Pacific,Public health measures,introduction of isolation and quarantine policies,All international travellers to Solomon Islands are required to undergo 14 days of self-quarantine.,rnz,2020-03-20,SB
954,Solomon Islands,Pacific,Public health measures,introduction of isolation and quarantine policies,All citizens not working and living in Honiara are encouraged to return or relocate to provinces immediately. All citizens in the provinces are advised to NOT undertake any non-essential travel to Honiara with immediate effect.,solomon times,2020-03-20,SB
955,Solomon Islands,Pacific,Public health measures,introduction of isolation and quarantine policies,"All cargo ships, including all logging, mineral ore and fishing vessels must serve the 14 days quarantine period at sea and can only be cleared at Noro and Honiara Ports.",solomon times,2020-03-20,SB
956,Solomon Islands,Pacific,Governance and socio-economic measures,economic measures,Prioritising Government Expenditure ? All permanent secretaries are now reviewing and re-prioritising their respective ministry budgets in anticipation of budget pressures due to the Corona Virus.,solomon times,2020-03-20,SB
957,Tanzania,Africa,Social distancing,limit public gatherings,All BRT buses will be required to carry passengers according to their operating license (nobody is allowed to be standing in DalaDalas etc.) ,the citizen,2020-03-20,TZ
958,Bolivia,Americas,Movement restrictions,curfews,General curfew from 17:00-6:00,us embassy,2020-03-20,BO
959,Solomon Islands,Pacific,Public health measures,strengthening the public health system,Establishing Capability to test Corona Virus at the NRH ? The government is moving ahead to procure and set up local capability to test Corona Virus at the NRH dengue laboratory within the next few weeks.,solomon times,2020-03-20,SB
960,Solomon Islands,Pacific,Governance and socio-economic measures,emergency administrative structures activated or established,Quarantine facilities / centres ? The government has already secured several facilities to be used as quarantine centres for incoming passengers as well as for our own nationals that may need to be quarantined for certain period of time from their homes. More facilities are being assessed to ensure they are ready for use if so needed.,solomon times,2020-03-20,SB
961,Tanzania,Africa,Public health measures,general recommendations,Buses and trains should be sprayed at the end of every journey and hand washing equipment should be installed at all bus and train station.,the citizen,2020-03-20,TZ
962,Burkina Faso,Africa,Social distancing,limit public gatherings,Limitation of religious gathering and priers,le faso,2020-03-20,BF
963,Algeria,Africa,Public health measures,introduction of isolation and quarantine policies,Quarantining known confirmed COVID-19 cases within its borders,us embassy of algeria ,2020-03-20,DZ
964,Solomon Islands,Pacific,Movement restrictions,Border closure,All traditional and non-traditional Border travelers using the Solomon Islands ? PNG border are advised this border crossing will be closed effective Friday 20 March 2020. PNG has already closed their side effective today.,solomon times,2020-03-20,SB
965,Burundi,Africa,Public health measures,introduction of isolation and quarantine policies,Quarantine for those arriving in the country that have been in Dubai in the last 14 days.,ministere de la sante publique,2020-03-15,BI
966,Antigua and Barbuda,Americas,Social distancing,limit public gatherings,Measures implemented at water payment centers: Senior citizens given priority in customer queues; controlled lines at payment centers enforced; use of sanitation station required on entry to office; designated waiting area to facilitate social distancing ,public works authority,2020-03-20,AG
967,Antigua and Barbuda,Americas,Public health measures,awareness campaigns,"Members of the Antigua and Barbuda Hotels and Tourist Association met with officials from the Ministry of Health, the Antigua Workers Unions and the Ministry of Tourism to educate about COVID 19 action plan","press release, antigua & barbuda government",2020-03-20,AG
968,Bolivia,Americas,Lockdown,partial lockdown,"Forced quarantine. Discotheques, bars, movie theaters, sporting events, large gatherings, gyms, amusement parks, night-time activities at event halls are closed. ",us embassy,2020-03-20,BO
969,Bolivia,Americas,Social distancing,Public services closure,"Public transport is limited to 6:00-18:00.
",us embassy,2020-03-20,BO
970,Palau,Pacific,Social distancing,Schools closure,"On Mar. 18, 2020 the Ministry of Education announced planned school closures from Mar. 23 - Apr. 3, 2020 to",palau ministry of health,2020-03-20,PW
971,Palau,Pacific,Public health measures,general recommendations,MOH 24-hour Hotline activated for public inquiries: +680-488-0555. Risk communication efforts sustained by MOH to relay credible and timely information to stakeholders and relevant information to the public and will continue to provide updates as they become available. ,palau ministry of health,2020-03-20,PW
972,Palau,Pacific,Public health measures,health screenings in airports and border crossings,"Health screening initiated on Jan. 23, 2020 at Palau International Airport and Malakal seaport to screen all visitors to Palau. All travelers must complete a health declaration form and are subject to health screening.",palau ministry of health,2020-03-20,PW
973,Palau,Pacific,Governance and socio-economic measures,emergency administrative structures activated or established,"MOH Emergency Operations Center (EOC) activated on Jan. 22, 2020 to implement preparedness and response",palau ministry of health,2020-03-20,PW
974,Palau,Pacific,Governance and socio-economic measures,state of emergency declared,"MOH issued a Certification of an Unavoidable Public Health Emergency for COVID-19 on Mar. 17, 2020, which mandates the scaling-up of clinical and public health response measures, and calls for a whole-of-government, whole-of-society approach to the COVID-19 pandemic threat.",palau ministry of health,2020-03-20,PW
975,Palau,Pacific,Movement restrictions,Border closure,"Executive Order 437 signed on Mar. 17, 2020 urging the collaboration of all government agencies in the COVID-19 response and extends existing travel restrictions until April 30, 2020.",palau ministry of health,2020-03-20,PW
976,Palau,Pacific,Movement restrictions,visa restrictions,"Executive Order 436 signed on Feb. 13, 2020 extends existing travel restrictions until Mar. 31 ,2020 - temporary ban of direct flights and cruise ships originating from or transiting through mainland China, Hong Kong, or Macau into Palau, as well as temporary ban of entry of foreign travelers from these areas in the past 14 days.",palau ministry of health,2020-03-20,PW
977,Palau,Pacific,Public health measures,strengthening the public health system,Belau National Hospital (BNH) now prepared to receive and care for critically ill suspected cases. Alternative Care Site (ACS) is currently being prepared to receive and care for critically ill suspected cases,palau ministry of health,2020-03-20,PW
978,Papua New Guinea,Pacific,Public health measures,strengthening the public health system,An isolation ward of 8 beds is ready at the Port Moresby General Hospital (PMGH). Nurses and doctors involved in the response have received training and have personal protective equipment (PPE) in stock.,png ministry of health,2020-03-20,PG
979,Papua New Guinea,Pacific,Movement restrictions,visa restrictions,"Passengers who have been in China (People's Rep.), Iran, Italy, Japan or Korea (Rep.) in the past 14 days are not allowed to enter Papua New Guinea. They must have spent 14 consecutive days in a country that is free from Coronavirus (COVID-19).",iata,2020-03-20,PG
980,Papua New Guinea,Pacific,Social distancing,limit public gatherings,All national sporting facilities in Papua New Guinea have been closed for four weeks,rnz,2020-03-20,PG
981,Papua New Guinea,Pacific,Public health measures,strengthening the public health system,"PNG Defence Force was making available its medical facilities at Taurama barracks, and 10 medical personnel, for use in responding to cases for quarantine and other purposes.",rnz,2020-03-20,PG
982,Papua New Guinea,Pacific,Public health measures,introduction of isolation and quarantine policies,14-day quarantine and medical clearances for all incoming travellers from countries affected by coronavirus.,rnz,2020-03-20,PG
983,Papua New Guinea,Pacific,Movement restrictions,Border closure,60-day ban on cruise ships berthing at PNG ports,rnz,2020-03-20,PG
984,Papua New Guinea,Pacific,Governance and socio-economic measures,economic measures,PNG's government has budgeted $US13 million for an Emergency Response Plan to prepare and respond to the coronavirus threat.,rnz,2020-03-20,PG
985,Antigua and Barbuda,Americas,Social distancing,Schools closure,All educational institutions closed until 27 March 2020 with possibility of extension,"ministry of education, science, and technology",2020-03-20,AG
986,Kenya,Africa,Movement restrictions,visa restrictions,The government of Kenya is suspending travel for all persons coming into Kenya from any country with reported COVID-19 cases for a one month period. Only Kenyan citizens and legal residents will be allowed to enter Kenya. All new entrants will be required to self-quarantine for a period of 14 days.,us embassy in kenya,2020-03-20,KE
987,Kenya,Africa,Social distancing,Schools closure,"From Monday the 23/03/2020, primary schools will be shut down. Boarding schools are expected to send pupils back home by mid-week, while higher education institutions are to close by week?s end (27/03/2020).",cgtn africa,2020-03-20,KE
988,Armenia,Asia,Governance and socio-economic measures,state of emergency declared,"for 30 days. decree 928-N declaring a 30-day state of emergency throughout the country starting from 18:30 of March 16, 2020, local time",us embassy of armenia,2020-03-20,AM
989,Armenia,Asia,Social distancing,Schools closure,All schools and Universities ,us embassy of armenia,2020-03-20,AM
990,Armenia,Asia,Social distancing,limit public gatherings,Prohibition of all events over 20 persons ,us embassy of armenia,2020-03-20,AM
991,Armenia,Asia,Movement restrictions,visa restrictions,suspended entry into the country arriving from areas with high risk of COVID-19 infections ,us embassy of armenia,2020-03-20,AM
992,Armenia,Asia,Public health measures,health screenings in airports and border crossings,symptoms checks and health questionnaires for all travelers permitted to enter the country.,us embassy of armenia,2020-03-20,AM
993,Czech Republic,Europe,Governance and socio-economic measures,economic measures,The government has extended its COVID loan program from 600 million to 10 billion crowns and further extended financial support to self-employed persons. Also a targeted employmet support program was implemented (covering parts of companies costs after March 1st),government,2020-03-20,CZ
994,Czech Republic,Europe,Movement restrictions,additional health/documents requirements upon arrival,"Cross-border commuters have to present a special document, the so-called cross-border worker's passbook to monitor the frequency of border crossings",government,2020-03-20,CZ
995,Czech Republic,Europe,Public health measures,strengthening the public health system,"The government has ordered that all acute in-patient care facilities be obliged to allocate capacity for such cases. In total, 400 beds with ventilation and another 400 beds with oxygen support should be prepared for seriously ill patients in the Czech Republic at this stage. Also a ban of patient visits, with exeptions, has been implemented",government,2020-03-20,CZ
996,Czech Republic,Europe,Movement restrictions,surveillance and monitoring,"People with confirmed SARS CoV -2 may be, under their agreement, tracked through data provided by banks and telecom providers",ministry of health,2020-03-20,CZ
997,Armenia,Asia,Movement restrictions,Border closure,Iran *exceptions: citizens of these respective nations are permitted to return and some cargo deliveries may cross the borders ,us embassy of armenia ,2020-03-20,AM
998,Antigua and Barbuda,Americas,Governance and socio-economic measures,emergency administrative structures activated or established,Antigua Public Utilities Authority (APUA) created an internal taskforce  to recommend systematic business continuity plans that can be implemented,antigua & barbuda government ,2020-03-20,AG
999,Antigua and Barbuda,Americas,Governance and socio-economic measures,economic measures,"Calls made to COVID Hotline 463-6843 will not incur charges from inet home, mobile and",antigua & barbuda government ,2020-03-20,AG
1000,Cameroon,Africa,Movement restrictions,Border closure," Closure of all land, sea and air borders.",foreign ministry ? uk,2020-03-20,CM
1001,Cameroon,Africa,Movement restrictions,international flights suspension,All international flights.,foreign ministry ? uk,2020-03-20,CM
1002,Azerbaijan,Asia,Public health measures,introduction of isolation and quarantine policies,"In the event of suspected coronavirus symptoms, a person will be quarantined in one of three quarantine facilities for 14 days or more, or until the person is determined to be free of the coronavirus; passengers arriving from countries which have high numbers of COVID-19 cases may be placed in quarantine immediately upon arrival, or may be asked to undergo self-quarantine, for 14 days in either case",us embassy,2020-03-20,AZ
1003,Cameroon,Africa,Movement restrictions,visa restrictions,All entry visas have been suspended.,foreign ministry ? uk,2020-03-20,CM
1004,Azerbaijan,Asia,Public health measures,awareness campaigns,"Assistance from WHO mission on COVID 19 preparedness measures. Azerbaijan is 1 of the 17 countries in the WHO European Region that is receiving laboratory testing kits. The first round of kits was distributed in February, and a second round is currently being shipped. The country will also be receiving personal protective equipment (PPE) for frontline health-care workers caring for patients with suspected and confirmed COVID-19, and laboratory staff who are testing swabs of suspected cases.",who europe,2020-03-20,AZ
1005,Azerbaijan,Asia,Movement restrictions,Border closure,Entry to Azerbaijan is temporarily suspended for all citizens of China and Iran. Visa issuance for the citizens of these countries has also been suspended,travel authority,2020-03-20,AZ
1006,Azerbaijan,Asia,Movement restrictions,international flights suspension,"Flights to and from China, Iran, France, Germany, Kazakhstan and Ukraine are cancelled",travel authority,2020-03-20,AZ
1007,Azerbaijan,Asia,Movement restrictions,visa restrictions,Cancelling routine nonimmigrant visa checks ,us embassy,2020-03-20,AZ
